127.0.0.1 - - [06/Dec/2022:10:11:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/login.jsp HTTP/1.1" 200 3247
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/css/application.login.css HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/js/axelor.ns.js HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 61962
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/css/view.form.checkbox.css HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/css/login.css HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/css/colors.css HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/lib/font-awesome/css/font-awesome.css HTTP/1.1" 200 37151
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/lib/bootstrap/css/bootstrap.css HTTP/1.1" 200 105501
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 200 22108
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:45 +0530] "GET /School-Information/ico/favicon.ico HTTP/1.1" 200 30293
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "POST /School-Information/callback HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/ HTTP/1.1" 200 9242
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/css/application.css HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/underscore/underscore.js HTTP/1.1" 200 41426
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/underscore/underscore.string.js HTTP/1.1" 200 20874
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/moment/moment.js HTTP/1.1" 200 393597
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/jquery.ui/js/jquery-ui.js HTTP/1.1" 200 450133
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/jquery.ui/js/jquery.ui.mask.js HTTP/1.1" 200 16818
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 61962
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/lib/jquery.event.drag-2.2.js HTTP/1.1" 200 12844
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/jquery.timepicker/jquery-ui-timepicker-addon.js HTTP/1.1" 200 78474
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/lib/jquery.event.drop-2.2.js HTTP/1.1" 200 9344
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/slick.core.js HTTP/1.1" 200 12725
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/plugins/slick.headermenu.js HTTP/1.1" 200 7671
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/slick.dataview.js HTTP/1.1" 200 30783
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/slick.grid.js HTTP/1.1" 200 101993
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:53 +0530] "GET /School-Information/lib/slickgrid/slick.groupitemmetadataprovider.js HTTP/1.1" 200 4183
